Site_plot_date,Project,Plot Type,Plot #,Visit (time since outplanting completed),Date
Fowey_control_10/08/2018,NOAA,Control,,,10/08/2018
KB_NOAA_plot_50_28/06/2018,NOAA,Plot,P50,Day0,28/06/2018
KB_NOAA_plot_49_28/06/2018,NOAA,Plot,P49,Day0,28/06/2018
KB_NOAA_control_28/06/2018,NOAA,Control,,Day0,28/06/2018
KB_NOAA_plot_09/08/2018,NOAA,Plot,P50,1month,09/08/2018
KB_NOAA_control_09/08/2018,NOAA,Control,,1month,09/08/2018
KB_NOAA_plot_12/10/2018,NOAA,Plot,P49,,12/10/2018
KB_NOAA_plot_49_01/03/2019,NOAA,Plot,P49,7months,01/03/2019
KB_NOAA_plot_50_01/03/2019,NOAA,Plot,P50,7months,01/03/2019
KB_NOAA_control_01/03/2019,NOAA,Control,,7months,01/03/2019
MB_NOAA_plot_79_08/08/2018,NOAA,Plot,P79,Day0,08/08/2018
MB_NOAA_plot_78_08/08/2018,NOAA,Plot,P78,Day0,08/08/2018
MB_NOAA_control_08/08/2018,NOAA,Control,,Day0,08/08/2018
MB_NOAA_control_25/08/2018,NOAA,Control,,Day0,25/08/2018
MB_NOAA_plot_25/08/2018,NOAA,Plot,P79,Day0,25/08/2018
MB_NOAA_plot_20/09/2018,NOAA,Plot,P79,1month,20/09/2018
MB_NOAA_control_20/09/2018,NOAA,Control,,1month,20/09/2018
MB_NOAA_plot_08/02/2019,NOAA,Plot,P78,5month,08/02/2019
MB_NOAA_control_08/02/2019,NOAA,Control,,5month,08/02/2019
MB-B_plot_09/11/2018,NOAA,Plot,P77,Day0,09/11/2018
MB-B_plot_78_08/02/2019,NOAA,Plot,P78,1month,08/02/2019
MB-B_plot_77_08/02/2019,NOAA,Plot,P77,1month,08/02/2019
MB-B_control_08/02/2019,NOAA,Control,,1month,08/02/2019
MB-B_control_16/07/2019,NOAA,Control,,,16/07/2019
RCCL_plot_27/11/2018,NOAA,Plot,P76,Day0,27/11/2018
RCCL_control_27/11/2018,NOAA,Control,,Day0,27/11/2018
RCCL_plot_19/12/2018,NOAA,Plot,P75,,19/12/2018
RCCL_control_19/12/2018,NOAA,Control,,,19/12/2018
RCCL_plot_75_01/03/2019,NOAA,Plot,P75,1month,01/03/2019
RCCL_plot_76_01/03/2019,NOAA,Plot,P76,1month,01/03/2019
RCCL_control_01/03/2019,NOAA,Control,,1month,01/03/2019
Rainbow_plot_91_05/06/2019,MDC,Plot,P91,1month,05/06/2019
Rainbow_control_05/06/2019,MDC,Control,,1month,05/06/2019
Rainbow_plot_100_05/06/2019,MDC,Plot,P100,1month,05/06/2019
Emerald_plot_20/06/2019,MDC,Plot,P70,Day0,20/06/2019
Emerald_control_20/06/2019,MDC,Control,,Day0,20/06/2019
Brewsters_plot_06/12/2019,MDC,Plot,Plot67,1month,06/12/2019
Rainbow_reef_plot_97_01/04/2021,100YOH,Plot,P97,6-month,01/04/2021
Rainbow_reef_control_97_01/04/2021,100YOH,Control,Control_97,6-month,01/04/2021
Rainbow_reef_plot_98_01/04/2021,100YOH,Plot,P98,6-month,01/04/2021
Rainbow_reef_control_98_01/04/2021,100YOH,Control,Control_98,6-month,01/04/2021
Rainbow_reef_plot_99_01/04/2021,100YOH,Plot,P99,6-month,01/04/2021
Rainbow_reef_control_99_01/04/2021,100YOH,Control,Control_99,6-month,01/04/2021
Rainbow_reef_plot_01/07/2021,MDC,Plot,P91,2year,01/07/2021
Rainbow_reef_plot_97_29/11/2020,100YOH,Plot,P97,Baseline,29/11/2020
Rainbow_reef_control_97_29/11/2020,100YOH,Control,Control_97,Baseline,29/11/2020
Rainbow_reef_plot_98_29/11/2020,100YOH,Plot,P98,Baseline,29/11/2020
Rainbow_reef_control_98_29/11/2020,100YOH,Control,Control_98,Baseline,29/11/2020
Rainbow_reef_plot_99_29/11/2020,100YOH,Plot,P99,Baseline,29/11/2020
Rainbow_reef_control_99_29/11/2020,100YOH,Control,Control_99,Baseline,29/11/2020
